binom	genus	species
Acer saccharinum	Acer	saccharinum
Acer rubrum	Acer	rubrum
Acer campestre	Acer	campestre
Acer platanoides	Acer	platanoides
Acer pseudoplatanus	Acer	pseudoplatanus
Acer negundo	Acer	negundo
Acer saccharum	Acer	saccharum
Acer pensylvanicum	Acer	pensylvanicum
Acer palmatum	Acer	palmatum
acer viburnum	Acer	viburnum
Achillea millefolium	Achillea	millefolium
Achillea filipendulina	Achillea	filipendulina
Aegopodium podagraria	Aegopodium	podagraria
Aesculus octandra	Aesculus	octandra
Aesculus hippocastanum	Aesculus	hippocastanum
Aesculus glabra	Aesculus	glabra
Agastache foeniculum	Agastache	foeniculum
Ageratina altissima	Ageratina	altissima
Ailanthus altissima	Ailanthus	altissima
Alliaria petiolata	Alliaria	petiolata
Allium cernuum	Allium	cernuum
Alnus incana	Alnus	incana
Alnus serrulata	Alnus	serrulata
Amaranthus cruentus	Amaranthus	cruentus
Amelanchier canadensis	Amelanchier	canadensis
Amelanchier alnifolia	Amelanchier	alnifolia
Amelanchier arborea	Amelanchier	arborea
Amorpha fruticosa	Amorpha	fruticosa
Ampelopsis brevipedunculata	Ampelopsis	brevipedunculata
Amsonia tabernaemontana	Amsonia	tabernaemontana
Anemonastrum canadense	Anemonastrum	canadense
Anemone virginiana	Anemone	virginiana
Anemone canadensis	Anemone	canadensis
Anemone quinquefolia	Anemone	quinquefolia
Anethum graveolens	Anethum	graveolens
Apocynum androsaemifolium	Apocynum	androsaemifolium
Aquilegia canadensis	Aquilegia	canadensis
Aquilegia vulgaris	Aquilegia	vulgaris
Aralia racemosa	Aralia	racemosa
Aralia nudicaulis	Aralia	nudicaulis
Arctium minus	Arctium	minus
Aronia arbutifolia	Aronia	arbutifolia
Aronia melanocarpa	Aronia	melanocarpa
Artemisia vulgaris	Artemisia	vulgaris
Asarum canadense	Asarum	canadense
Asclepias syriaca	Asclepias	syriaca
Asclepias incarnata	Asclepias	incarnata
Asclepias tuberosa	Asclepias	tuberosa
Aster cordifolius	Aster	cordifolius
Aureolaria pedicularia	Aureolaria	pedicularia
Baccharis halimifolia	Baccharis	halimifolia
Barbarea vulgaris	Barbarea	vulgaris
Berberis thunbergii	Berberis	thunbergii
Berberis vulgaris	Berberis	vulgaris
Betula lenta	Betula	lenta
Betula nigra	Betula	nigra
Betula papyrifera	Betula	papyrifera
Betula populifolia	Betula	populifolia
Betula alleghaniensis	Betula	alleghaniensis
Betula pendula	Betula	pendula
Betula occidentalis	Betula	occidentalis
Caltha palustris	Caltha	palustris
Canotia holacantha	Canotia	holacantha
Capnoides sempervirens	Capnoides	sempervirens
Carex pensylvanica	Carex	pensylvanica
Carex plantaginea	Carex	plantaginea
Carpinus caroliniana	Carpinus	caroliniana
Carpinus betulus	Carpinus	betulus
Carpopeltis bushiae	Carpopeltis	bushiae
Carya ovata	Carya	ovata
Carya glabra	Carya	glabra
Carya ovalis	Carya	ovalis
Carya carolinae-septentrionalis	Carya	carolinae-septentrionalis
Castanea dentata	Castanea	dentata
Ceanothus americanus	Ceanothus	americanus
Celastrus orbiculatus	Celastrus	orbiculatus
Celtis occidentalis	Celtis	occidentalis
Centaurea stoebe	Centaurea	stoebe
Cephalanthus occidentalis	Cephalanthus	occidentalis
Cercis canadensis	Cercis	canadensis
Chamaecrista fasciculata	Chamaecrista	fasciculata
Chimaphila maculata	Chimaphila	maculata
Chionanthus virginicus	Chionanthus	virginicus
Chionanthus pygmaeus	Chionanthus	pygmaeus
Circaea canadensis	Circaea	canadensis
Circaea lutetiana	Circaea	lutetiana
Cirsium arvense	Cirsium	arvense
Cirsium vulgare	Cirsium	vulgare
Clethra alnifolia	Clethra	alnifolia
Comandra umbellata	Comandra	umbellata
Comptonia peregrina	Comptonia	peregrina
